[INFO] [1785745512.989363730] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785745525.990370647] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745531.990149907] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785745538.209170715] [trajectory_predictor]: [Pred HOLD ON] Tay đứng yên (std=4.0mm). Khóa tại (-0.0681, -1.3568, 0.0686)
[INFO] [1785745543.665851355] [trajectory_predictor]: [Pred HOLD OFF] Tay di chuyển (dev=41.4mm). Thả hold.
[INFO] [1785745552.990036397] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745562.989891651] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745566.989773711] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745569.989877892] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745571.989708099] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745576.990887311] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745580.990037747] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745586.989894942] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745590.989832008] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785745592.989986501] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745597.989706284] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785745607.990285658] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745617.530193516] [trajectory_predictor]: [Predictor] Predicting STOPPED
[INFO] [1785745623.989788813] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745628.989594384] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745639.989630747] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745647.989428635] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745654.992272514] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745657.989755185] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745663.989397868] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785745676.990455638] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745678.989240361] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745681.989795405] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745684.989616861] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745686.991191874] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745691.989866204] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745697.989876070] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745703.989855647] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745711.989629907] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745717.989823238] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745769.990036350] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785745779.989715423] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745792.989701862] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745794.989840507] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745922.989309305] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785745925.989719893] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745928.989491522] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745930.989698782] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745932.989352405] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745946.989837129] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745948.989510867] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745956.989567542] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745958.989373629] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745962.989678144] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745970.990184641] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745977.989418345] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785745980.989467157] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785745989.989713772] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785745998.989400708] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785746001.990077209] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785746004.989766257] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785746010.989980488] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785746013.989370128] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785746026.990081773] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785746035.989888013] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785746037.989600315] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785746042.989621486] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785746045.989385352] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785746048.989476281] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785746050.989730325] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785746054.290735212] [trajectory_predictor]: [Pred HOLD ON] Tay đứng yên (std=3.0mm). Khóa tại (-0.0966, -1.1298, -0.1606)
[INFO] [1785746055.026422875] [trajectory_predictor]: [Pred HOLD OFF] Tay di chuyển (dev=498.7mm). Thả hold.
[INFO] [1785746062.990139684] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785746064.990104437] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785746066.989451233] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785746071.990245777] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785746073.989936531] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785746077.990096433] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
